LABEL,IN_ASEG,IN_FAST,IN_SAMSEG,IN_VUNO
0,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,TRUE
2,TRUE,TRUE,TRUE,TRUE
3,TRUE,FALSE,TRUE,TRUE
4,TRUE,TRUE,TRUE,TRUE
5,TRUE,TRUE,TRUE,TRUE
6,FALSE,FALSE,FALSE,TRUE
7,TRUE,TRUE,TRUE,TRUE
8,TRUE,TRUE,TRUE,TRUE
9,FALSE,FALSE,FALSE,TRUE
10,TRUE,TRUE,TRUE,TRUE
11,TRUE,TRUE,TRUE,TRUE
12,TRUE,TRUE,TRUE,TRUE
13,TRUE,TRUE,TRUE,TRUE
14,TRUE,TRUE,TRUE,TRUE
15,TRUE,TRUE,TRUE,TRUE
16,TRUE,TRUE,TRUE,TRUE
17,TRUE,TRUE,TRUE,TRUE
18,TRUE,TRUE,TRUE,TRUE
19,FALSE,FALSE,FALSE,TRUE
20,FALSE,FALSE,FALSE,TRUE
21,FALSE,FALSE,FALSE,TRUE
22,FALSE,FALSE,FALSE,TRUE
23,FALSE,FALSE,FALSE,TRUE
24,TRUE,TRUE,TRUE,TRUE
25,FALSE,FALSE,FALSE,TRUE
26,TRUE,TRUE,TRUE,TRUE
27,FALSE,FALSE,FALSE,TRUE
28,TRUE,TRUE,TRUE,TRUE
29,FALSE,FALSE,FALSE,TRUE
30,TRUE,FALSE,TRUE,TRUE
31,TRUE,TRUE,TRUE,FALSE
33,FALSE,FALSE,FALSE,TRUE
34,FALSE,FALSE,FALSE,TRUE
35,FALSE,FALSE,FALSE,TRUE
36,FALSE,FALSE,FALSE,TRUE
37,FALSE,FALSE,FALSE,TRUE
38,FALSE,FALSE,FALSE,TRUE
39,FALSE,FALSE,FALSE,TRUE
40,FALSE,FALSE,FALSE,TRUE
41,TRUE,TRUE,TRUE,TRUE
42,TRUE,FALSE,TRUE,TRUE
43,TRUE,TRUE,TRUE,TRUE
44,TRUE,TRUE,TRUE,TRUE
45,FALSE,FALSE,FALSE,TRUE
46,TRUE,TRUE,TRUE,TRUE
47,TRUE,TRUE,TRUE,TRUE
48,FALSE,FALSE,FALSE,TRUE
49,TRUE,TRUE,TRUE,TRUE
50,TRUE,TRUE,TRUE,TRUE
51,TRUE,TRUE,TRUE,TRUE
52,TRUE,TRUE,TRUE,TRUE
53,TRUE,TRUE,TRUE,TRUE
54,TRUE,TRUE,TRUE,TRUE
55,FALSE,FALSE,FALSE,TRUE
56,FALSE,FALSE,FALSE,TRUE
57,FALSE,FALSE,FALSE,TRUE
58,TRUE,TRUE,TRUE,TRUE
59,FALSE,FALSE,FALSE,TRUE
60,TRUE,TRUE,TRUE,TRUE
61,FALSE,FALSE,FALSE,TRUE
62,TRUE,FALSE,TRUE,TRUE
63,TRUE,TRUE,TRUE,TRUE
64,FALSE,FALSE,FALSE,TRUE
65,FALSE,FALSE,FALSE,TRUE
66,FALSE,FALSE,FALSE,TRUE
67,FALSE,FALSE,FALSE,TRUE
68,FALSE,FALSE,FALSE,TRUE
69,FALSE,FALSE,FALSE,TRUE
70,FALSE,FALSE,FALSE,TRUE
71,FALSE,FALSE,FALSE,TRUE
72,FALSE,FALSE,TRUE,TRUE
73,FALSE,FALSE,FALSE,TRUE
74,FALSE,FALSE,FALSE,TRUE
75,FALSE,FALSE,FALSE,TRUE
76,FALSE,FALSE,FALSE,TRUE
77,TRUE,TRUE,TRUE,TRUE
78,FALSE,FALSE,FALSE,TRUE
79,FALSE,FALSE,FALSE,TRUE
80,FALSE,FALSE,TRUE,TRUE
81,FALSE,FALSE,FALSE,TRUE
82,FALSE,FALSE,FALSE,TRUE
83,FALSE,FALSE,FALSE,TRUE
84,FALSE,FALSE,FALSE,TRUE
85,TRUE,FALSE,TRUE,TRUE
86,FALSE,FALSE,FALSE,TRUE
87,FALSE,FALSE,FALSE,TRUE
88,FALSE,FALSE,FALSE,TRUE
89,FALSE,FALSE,FALSE,TRUE
90,FALSE,FALSE,FALSE,TRUE
91,FALSE,FALSE,FALSE,TRUE
92,FALSE,FALSE,FALSE,TRUE
93,FALSE,FALSE,FALSE,TRUE
94,FALSE,FALSE,FALSE,TRUE
95,FALSE,FALSE,FALSE,TRUE
96,FALSE,FALSE,FALSE,TRUE
97,FALSE,FALSE,FALSE,TRUE
98,FALSE,FALSE,FALSE,TRUE
99,FALSE,FALSE,FALSE,TRUE
100,FALSE,FALSE,FALSE,TRUE
101,FALSE,FALSE,FALSE,TRUE
102,FALSE,FALSE,FALSE,TRUE
103,FALSE,FALSE,FALSE,TRUE
104,FALSE,FALSE,FALSE,TRUE
165,FALSE,FALSE,TRUE,FALSE
251,TRUE,FALSE,FALSE,FALSE
252,TRUE,FALSE,FALSE,FALSE
253,TRUE,FALSE,FALSE,FALSE
254,TRUE,FALSE,FALSE,FALSE
255,TRUE,FALSE,FALSE,FALSE
258,FALSE,FALSE,TRUE,FALSE
259,FALSE,FALSE,TRUE,FALSE
1002,FALSE,TRUE,FALSE,FALSE
1003,FALSE,TRUE,FALSE,FALSE
1005,FALSE,TRUE,FALSE,FALSE
1006,FALSE,TRUE,FALSE,FALSE
1007,FALSE,TRUE,FALSE,FALSE
1008,FALSE,TRUE,FALSE,FALSE
1009,FALSE,TRUE,FALSE,FALSE
1010,FALSE,TRUE,FALSE,FALSE
1011,FALSE,TRUE,FALSE,FALSE
1012,FALSE,TRUE,FALSE,FALSE
1013,FALSE,TRUE,FALSE,FALSE
1014,FALSE,TRUE,FALSE,FALSE
1015,FALSE,TRUE,FALSE,FALSE
1016,FALSE,TRUE,FALSE,FALSE
1017,FALSE,TRUE,FALSE,FALSE
1018,FALSE,TRUE,FALSE,FALSE
1019,FALSE,TRUE,FALSE,FALSE
1020,FALSE,TRUE,FALSE,FALSE
1021,FALSE,TRUE,FALSE,FALSE
1022,FALSE,TRUE,FALSE,FALSE
1023,FALSE,TRUE,FALSE,FALSE
1024,FALSE,TRUE,FALSE,FALSE
1025,FALSE,TRUE,FALSE,FALSE
1026,FALSE,TRUE,FALSE,FALSE
1027,FALSE,TRUE,FALSE,FALSE
1028,FALSE,TRUE,FALSE,FALSE
1029,FALSE,TRUE,FALSE,FALSE
1030,FALSE,TRUE,FALSE,FALSE
1031,FALSE,TRUE,FALSE,FALSE
1034,FALSE,TRUE,FALSE,FALSE
1035,FALSE,TRUE,FALSE,FALSE
2002,FALSE,TRUE,FALSE,FALSE
2003,FALSE,TRUE,FALSE,FALSE
2005,FALSE,TRUE,FALSE,FALSE
2006,FALSE,TRUE,FALSE,FALSE
2007,FALSE,TRUE,FALSE,FALSE
2008,FALSE,TRUE,FALSE,FALSE
2009,FALSE,TRUE,FALSE,FALSE
2010,FALSE,TRUE,FALSE,FALSE
2011,FALSE,TRUE,FALSE,FALSE
2012,FALSE,TRUE,FALSE,FALSE
2013,FALSE,TRUE,FALSE,FALSE
2014,FALSE,TRUE,FALSE,FALSE
2015,FALSE,TRUE,FALSE,FALSE
2016,FALSE,TRUE,FALSE,FALSE
2017,FALSE,TRUE,FALSE,FALSE
2018,FALSE,TRUE,FALSE,FALSE
2019,FALSE,TRUE,FALSE,FALSE
2020,FALSE,TRUE,FALSE,FALSE
2021,FALSE,TRUE,FALSE,FALSE
2022,FALSE,TRUE,FALSE,FALSE
2023,FALSE,TRUE,FALSE,FALSE
2024,FALSE,TRUE,FALSE,FALSE
2025,FALSE,TRUE,FALSE,FALSE
